lang,source,translation
kjh,"туңмам полған, анымаң хада парғабыс.","сестрёнка была, с ней вместе ездили."
bak,"elek institutqa uqərɣa kilew qəjən bula torɣajnə šul, beððe ataj ""institutqa kererhegeð"" tip tərəštərɣajnə.","раньше ведь было трудно поступить учиться в институт, отец нас заставлял постараться, говоря ""поступите в институт""."
xas,"kubabə kubi da ibi, šünə (emn-) embi. ","шкуру нашел, взял и положил и положил в огонь."
kjh,"а чииттер най ла, ниме, иртінчелер.","а молодежь очень, это, наглеет."
bak,[grg] beð bötä klass menän bəjəlɣə jəlda öltök qaraɣastarən qararɣa barðəq.,[grg] в этом году мы всем классом ездили смотреть многоствольные шарообразные лиственницы.
kjh,[lat1978f] ну а ол… ам верхаскизтің орында-та хайдағ-да аал полған на полар.,"[lat1978f] ну, а вместо верх-аскиза была же какая-то другая деревня, наверно, раньше."
xas,"""măna inezi ej amnosʼtə, i tüžöjdə ej amnosʼtə, (nada tănan dăk=) (tăn) tănan kereʔ, dak tăn kanaʔ"". ","""мне с лошадью не жить и [с] коровой не жить, тебе надо, так ты и иди!"""
evn,"бэе девсамдалон, гирамдамӣла девувкӣ одяӈа̄с.","будешь есть за человеком его объедки, кости."
xas,bostə bar todam. ,сама стройная.
kjh,а городта нойма тоғынчалар? мин парғам.,а в городе что работают? я ездила.
xas,xatʼel kabarzittə onʼiʔ üdʼüge šoška. ,хотел схватить одного поросенка.
mhr,вара адак,потом снова
mhr,"[15] тыланет тыге чучын,","[15] тебе так казалось,"
xas,(dĭm-) dĭzeŋ dĭm oʔbdəbiʔi. ,они ее собрали.
xas,šen bile nörbəlat. ,он говорит (очень?) плохо.
xas,dʼok. ,нет.
evn,дыгин класпэ манаса̄в тадӯ.,четыре класса закончил там.
kjh,[mdc1963f] килбеендiр. тайғазар ниме теерерге парған ол?,[mdc1963f] не пришел. что собирать в тайгу ушел?
kjh,[zgb1935f] сағызыма кірбинче.,[zgb1935f] не вспоминается.
mhr,тушто йолташ-шамыч шӱрат.,там же друзья мои боронят.
evn,эдын ачин бичон энинӈӣв.,мужа не было у моей матери.
xas,tăn (uget) măna. ,ты дай(?) мне.
bak,"[rrg] ну, aləθ bigeräk, ällä ni saqlə barər käräk.","[rrg] ну да, слишком далеко, не знаю сколько надо ехать."
bak,"säɣät ällä ös ine ul töngö, три часа.","времени было вроде три часа ночи, три часа."
mhr,"тудо будкыш петыреныт,","закрыли в эту будку,"
kjh,а постарының чон астапча.,а свой народ голодает.
xas,pazʼiʔ bar barəʔpi. ,палкой ведь кидала.
kjh,а андада улуғ хамнар тіп кил чоохтасчаңнар.,а тогда большие шаманы разговаривали.
xas,(dĭ ba -) dĭ uʔpi. ,он встал.
kjh,саңай ла піс хазах кип-азах киспеӌебіс.,мы русскую одежду совсем не надевали.
xas,bĭdeʔ bü! ,пей воду!
kjh,"а тагза апар салтыр, а кем апарған тяжёлыйды?","а на гору отнесли, а кто унёс тяжёлый?"
kjh,"[emk1967f] ну, а ол піди… чуғаӌахтар.",[emk1967f] они такие тоненькие.
kjh,"[emk1967f] а олар піди… онааға <?> мының алнындағы тӧӧйлер, а піди чуғаӌахтар пластиналар охс.","[emk1967f] а, они просто похожи на те, что были раньше, а так они тоненькие, как пластины."
kjh,[erk1927f] мин.,[erk1927f] я.
evn,"куӈакар hуюкур биӈэhӣтын-тэ, этэсов стадэлдӯ hавалдямӣ.","дети маленькие когда были, перестал в стаде работать."
kjh,"[lat1978f] мин искем, ниме, пу чыланнар как бы ту… самый пастығлары чи, или хайди тіпчелер, царьі чи ниме, мындағ тӱктӱг ниме хайдағ полчан одыр <?>.","[lat1978f] я слышала, у таких змей самые главные или, как говорят, царь их, что ли, бывает такой волосатый как бы."
xas,kabarləj. ,останови [плёнку].
kjh,хыыр ам.,прочитай-ка.
xas,dĭʔnə tüj (š-) sejʔpü pʼe. ,ей сейчас семь[десят] лет.
kjh,"анаң пір хыс оолбаң мында, мындағох, пу аалдаң, чуртап салғаннар еще.","потом одна девушка с парнем здесь, здешняя же, с этой деревни, поженились ещё."
bak,"ä bəna qərq kön uraða bajramə ütkändän huŋ, qərq köndän huŋ, qorban bajramə bula.","и вот через сорок дней после праздника поста, через сорок дней бывает праздник жертвы (курбан байрам)."
bak,[rrg] ä ilnaranəqən direktorðan alɣandar tej tügelme?,"[rrg] а у ильнары [копию аттестата] у директора заверили, не так ли?"
kjh,"анаң пыдырахтаң хайдағ-де бригадир полған, ниме, районный.","потом из бутрахтов какой-то бригадир был, это, районный."
mhr,мылам тройкым шындыш.,мне тройку поставил.
xas,anaʔ dĭbər. ,иди сюда.
kjh,"се мин ам іӌемох чазына читіре чурта… чуртап алам, аннаң артых чуртабассым тіп сағынчам аннаңары.","ну я теперь до маминых лет жив… проживу, больше этого не теперь до маминых лет жив… проживу, больше этого не проживу, думаю, поэтому."
mhr,[8] мелнам кузе ышташ?,[8] как делать блины?
kjh,"а парғамда, улам... улам ӱстӱнде абам от хырлапча, чон толдыра.","а когда я пошла, стог... на стоге сена, отец стог вершит, народа полно."
xas,perejaslăvkanə šobibaʔ. ,мы приехали в переясловку.
kjh,"[vtt1937f] но, жаннаның андағох улии седьмойға, анаң диана, анаң илюша – ӱс пала.","[vtt1937f] да, у жанны также старшая в седьмой, потом диана, потом илюша – трое детей."
xas,"davaj kirgarzittə:"" šöʔkeʔ măna! ","и стала кричать: ""сшейте мне!"
xas,"""šaʔlaːndə miʔnʼibeʔ!"" ","""спрячь нас""."
kjh,"[zgb1935f] ирліг, пала чоғыл.","[zgb1935f] замужем, детей нет."
kjh,[egs1982f] а сірердің мында пу тағлардың прай піреезі… пірее тағлардың ат… аттары пар ба?,"[egs1982f] а у вас здесь у этих гор, у каких-то гор есть названия?"
evn,"сундӯ эдӯ, эдӯ ороко̄р вон биhэ.",у вас здесь олени.
xas,dĭgəttə parluʔbiam. ,тогда я вернулась.
xas,ej jakšə nʼilgölaʔsittə. ,нехорошо подслушивать(?).
xas,kuja bar amnolaʔbə. ,солнце ведь садится.
kjh,"[evs1979f] а чох, піске чай, піс  азыранып алғабыс, чіп алғабыс.","[evs1979f] а нет, нам чай... мы покушали, поели."
bak,"ultərtøəɣəð =ða barø, səɣəp torøoɣoð.","поставьте пока, выходите и пойдите."
evn,дэ̄.,да...
kjh,"«кригорийдың хызы кил пеере» тіпче, «сегее килгем» тіпче.","«дочь григория, иди сюда» говорит, «за тобой я приехал» говорит."
bak,"šulajtəp, ""alla böjök, alla böjök"" tip, šul bötörölöp qujəla inde, šulaj... šul примерный перевод, šulaj примерный переводить ittem.","вот так, ""аллах велик, аллах велик"" - так заканчивается [такбир], так... вот примерный перевод, я так сделал примерный перевод."
evn,часовнядӯ индеӈкӣтын,[нрзб]  в часовне они жили.
bak,"и таким bulmanə, šul baldaq almanəq, baldaq juq, <šulaj tege> šul baldaqhəð šulaj tip tuj ütte.","и так нет, этих колец не достали, нет колец, и так без колец прошла свадьба."
mhr,"вет изиш илынет дык,",если хочешь немножко пожить —
bak,məna dürt biš jəl elek =kenä äle iŋ ölkän ulə räšit aɣaj ülde.,вот только 4 или 5 лет назад умер их старший сын братец рашит.
mhr,"[2] хоть в церкву ходи, никто не запрещает, только молись.","[2] хоть в церковь ходи, никто не запрещает, только молись."
xas,măn (noʔ-) noʔdə tonəʔlaʔbə. ,топчет мою траве.
xas,"ilzʼiʔ jakšə dʼăbaktəraʔ!"" ",говори с людьми по-хорошему!»
evn,"эр тодёдо̄hун, hэлэ эмэпдем ирэкселвэ... ирэксевэ, о̄hалба, эр са̄тырэ ирэксэвон, эван.","чтобы вы поверили, я принес шкуру, камусы, шкуру и тому подобное этого песца."
kjh,"чарир, наверно, зе.","достаточно, наверно, да."
kjh,анаң паза анӌа нонна ноо <?> денис полар анда.,"потом еще сколько нонна … денис там будет, наверное."
mhr,"[8] мошташ моштет, коҥга уке гын вот каньыл огыл,","[8] может, сможешь, но если нет печки, тогда нелегко,"
mhr,тротуар ден каена — чыла лавыра.,по тротуару идём — везде грязь.
bak,"и дружно были, šundaj duθ.","и дружно были, так дружно."
kjh,"[evs1979f] харбасча же ол, кӱресче.","[evs1979f] борется же он, борьбой занимается."
kjh,"а потом курортха хайдары-да талай хазынзары, морязары ал чӧрген.",
evn,уже инӣгэрэн орорви.,уже развьючил своих оленей.
xas,dĭgəttə dibər - davaj meritʼ - sumna abi. ,"потом там, давай мерить, сделал пять. [?]"
evn,"пэктырэ̄чэ̄н чипка̄рвэ, улукӣлвэ, дянтакӣлвэ вес.","настрелял соболей, белок, росомах всех."
mhr,[14] мый шым ияш мо?,[14] я в семь лет что ли?
mhr,адак целинашкет шына кай.,опять на целину не поехали.
xas,"tăn pʼeldə (budi-) budʼet, măn pʼeldə"". ",[пусть] у тебя половина [мира] будет и у меня половина».
kjh,[egs1982f] а харындастарың туңмаларың родной хада тӧреен?,[egs1982f] а братья и сестры родные (есть)?
mhr,ала иктаж пече йымак,"может, [жеребёнок] под забором"
evn,"э̄, долго уже, долго, о̄й гороё итыга̄деӈнэрэвун, саво̄далвэр гороё инӣпдеӈнэрэв, гороё еще.","долго уже, долго, долго собирали вещи, долго вьючили [оленей], долго еще."
kjh,"«наа нимеліг, товар ағылза» теем, «андағ кізілерге тігіп одыр, а иргі имелер алба» теем «пір дее».","«если новую ткань принесёт», говорю, «таким людям шей, а старые вещи не бери», говорю, «вообще»."
kjh,"[erk1927f] худай-абаӌах, хабынғам, мӧӧдім чоғыл.","[erk1927f] господь-батюшка, хватилась, мёда нет."
kjh,[avd1959f] водички...,"даже с белого тасхыла текущие реки, даже белую степь преодолевая, бегут."
kjh,"колхозта мин тоғынмаан име халбаан, только хыра ла тартпаам.","в колхозе не было работы, которую бы я не делала, только поле только не пахала."
bak,"ularðə unda... суббота köndö qajtalar или šämbe köndö qajtalar, aləp kilälär qəš bulha traktorða, ä jal könö kire aləp baralar ine.","их туда... в субботу (заимствование), или в субботу (башкирское слово) сюда возвращались, а зимой привозили на тракторе, а в воскресенье отвозили обратно."
xas,bostə nʼergölüʔpi bar. ,[и] сама улетела.
bak,mejestär böttö.,печи не существуют.
xas,"""tăn ej kubiam, (gije-) gijen nʼergölüʔpiʔi nabəʔi?"" ","""ты не видела, куда полетели утки?"""
kjh,хайди кӧріндіре пол парча ол.,как на глазах происходит это.
mhr,[14] вот.,[14] вот.
bak,"älege tege tormoštaɣə, nejðän alənɣan bit inde ul, tormoštan... все.","он ведь такой, как в нынешней жизни, из этой взят, из жизни... все."
xas,"""o, girgit nʼamga. ","«ох, какая вкусная."
xas,"dĭ ineʔi bădəbiʔi, a dö ineʔi ej bădəbiʔi. ","тех лошадей покормили, а этих лошадей не покормили."
xas,"""kanaʔ maːndə! ","""иди домой!"
xas,iʔgö il nulaʔbə. ,много людей стоит.
xas,nada măna poʔto băʔsittə. ,мне придётся козла зарезать.
kjh,ағас… ағасха ілін марған.,дерево… на дереве повис.
bak,no beð küldän qajtəp kilä inek.,"ну, мы возвращались с озера."
bak,häm zöxrä šul nurðan ajɣa taban atlap menep kitkän.,и зухра по этому лучу поднялась к луне.
bak,"məna... anda... üðe... šul ütkän ɣümeren alar точно höjläj, ä kiläsäkte aldajðar.","это... вот... сам... прошедшую жизнь они точно говорят, а по поводу будущей жизни обманывают."
bak,"ä inde tatar awələna barhalar uŋajhəðlanəp, üððären bašqort tip äjtmähendär ösön tatarsa höjläšälär.","а когда попадают в татарскую деревню, стесняются, чтоб их не называли башкирами, они говорят по-татарски"
mhr,[15] сергей васильевич.,[15] сергей васильевич.
mhr,тынар шинчавӱдшӧ йоген да кылмен шинчын йӱштыштет.,"столько слёз она пролила, и слёзы заледенели в морозе."
xas,kabarləj daška. ,"хватит, больше не надо (?)"
mhr,"постараться да кӱлеш, конечно же.","постараться, конечно, нужно."
bak,"məna xäðer sportzalda bötön inventary, ä beððeŋ təšta, hawala, äje, все, bötähe =lä; круглый год balalar заниматься itä torɣajnə.","вот сейчас весь инвентарь в спортзале, а у нас [было] на улице, на воздухе, да, все, все [на улице]; круглый год дети занимались."
kjh,но анызы пір дее име пілбеендір.,"но тот ничего не знал, оказывается."
xas,măn măndəm: unnʼa (amnolaʔbə-) amnolam bar. ,я говорю: одна буду жить ведь.
kjh,"«ам позырахта сӱртем» теен, киӌее.","«теперь в воскресенье белить буду», сказала, вчера."
xas,ugaːndə kuštü kuza. ,очень сильный человек.
mhr,тудым киндыш пыштена ыле.,их добавляли в хлеб.
evn,****,****
xas,"i kirgarlaʔbə:"" măn maluʔpiam!"" ",и кричит: «я застрял!»
mhr,"но тора велыште улытат,","но они далеко живут [= находятся],"
evn,"нуңан балдиса̄н нѓэкэндэдӯ hэгди, hэгди, hэгди экундӯ.
				","она родилась в эконде в большой, большой, большой этой самой [семье]."
xas,dĭ davaj sütsi … ,она стала молоком…
kjh,"песке, ниме, пірее ниме итче бе?","печке, это, что-нибудь делают?"
xas,kabarləj. ,хватит!
mhr,"покрывалым пидме ыле, мо, ӱстембал=","покрывало [я] связала, это скатерть,"
kjh,"[emk1967f] ну, раз пу чыл отыс чыл полча, пір чыл тоғынмаан даа, ам…","[emk1967f] ну, раз в этом году тридцать лет, и год не работала, сейчас…"
xas,i dĭʔnə amnuʔtə šerbi. ,надел на рога [козлу].
kjh,[vtt1937f] а то длинный полған.,[vtt1937f] а то длинное было.
xas,pʼeš nenzittə. ,чтобы печь топить.
xas,"saʔməluʔpi (kup-) kupʼestə, turanə. ",она упала около дома купца.
kjh,чайға сахар может саларға или мёд салыңар.,
kjh,а то прямо полный эти таскают.,
xas,dĭzeŋ kambiʔi. ,они полетели.
xas,"a dĭ măndə:"" tüjö suʔmiluʔləm dak, bar tănan saj nožuʔləm"". ","а она говорит: «сейчас как выпрыгну, разорву(?) тебя на части»."
xas,"a keʔbde ibi, sagər keʔbde. ",а ягоды были - черная ягода.
xas,sön kuʔsittə nada. ,надо убить оленя.
kjh,"[zgb1935f] я, син путинні кірестенчен кӧрчемең?","[zgb1935f] да, ты видишь, что путин крестится?"
kjh,[erk1927f] тадар тілінмең чоохтанарға?,[erk1927f] на хакасском языке говорить?
kjh,"[evs1979f] а бутанаевха пирібіскем, бутанаевтең анаң сурғам, «син пирбеезің» теен и всё, и так и чіт парған.","[evs1979f] а бутанаеву я отдала, у бутанаева потом спрашивала, «ты не давала» сказал - и всё, и так и потерялось."
xas,ugaːndə maktanarzittə jakšə mobi. ,он очень хорошо умел хвастаться.
bak,"ber bäläkäj =genä öjgä səqtəm, keše tormaɣan öjgä.","я переселилась в один маленький дом, в дом, в котором никто не жил."
bak,ašaw restoranda buldə.,питание было в ресторане.
mhr,"ой, вашпӧрт кузе лиеш?","ой, как [по-русски] сказать «вашпӧрт» (задний дом)?"
kjh,"пуох школада ӱгренчелер, улии пу школаны тоозып ағбан городсар ӱгренерге парар.","все они учатся в этой школе, старший эту школу закончил и поедет учиться в абакан."
xas,"""kanžəbəj maːʔnʼi, abandə!"" ","«пойдём домой, к твоему отцу!»"
xas,tăŋ ej dʼăbaktəraʔ. ,сильно не разговаривай!
xas,dĭgəttə dĭ edəbi aspak. ,[потом] он подвесил котёл.
xas,"büzʼen koʔbdobə băragən detleʔbə."" ","дочь мужчины в мешке несут""."
kjh,"[evs1979f] а-а, ага.","[evs1979f] а-а, ага."
xas,"dĭ suʔmiluʔpi, a dĭn šü ibi. ","он прыгнул, а там огонь был."
bak,"šulaj… šulaj, bütän äjtä almajəm... не могу bütän!","так… так, больше ничего не могу сказать... больше не могу!"
xas,"urgaːba šonəga:"" iʔ măna (bostəzi)! ","медведь идет: ""возьми меня с собой!"
xas,dĭzeŋ kunolbiʔi dʼügən. ,они спали на полу.
kjh,"[vtt1937f] и то... піс пееркілері, иң аал пазындағылары и то пасха чоохтасча.","[vtt1937f] и то: мы тутошние,  и те, что в самом начале деревни (живут), и то по-разному разговаривают."
xas,tibi da koʔbdo tănan padʼi ĭmbi-nʼibudʼ deʔpiʔi. ,"мужчина и девушка, наверное, принесли тебе что-нибудь."
bak,[ldn] boron boron zamanda jäšägän ti ber babaj.,[ldn] давным-давно жил один старик.
evn,амӣм дылганман урэ̄дерэн.,походит на голос моего отца.
kjh,покосха чöрӌебiс пiрее-пiрее андары.,на покос туда ходили.
mhr,"два... два дома построили, шестерых детей сделали.","два... два дома построили, шестерых детей родили."
kjh,[mvk1924f] я. анда хыстапчам.,[mvk1924f] да. там зимую.
mhr,кол кандашымше август — тиде спас мемнан.,двадцать восьмое августа — это у нас спас.
xas,"dĭgəttə tumo supsobi, măndə: ","потом мышка выбежала, говорит:"
mhr,"южгунам же ойлат, что тыге... если","иногда же говорят, что так если"
kjh,[lat1978f] ам сентябрьда ӱс час тол <парар>.,[lat1978f] в этом сентябре ему будет три года.
mhr,"[2] колен колтыш, шорын шыш керт да.","[2] умерла, не могла ходить в туалет."
bak,"bälki beräj häjkäl =dä qujərɣa tip, bik bildäle keše bulɣan inde.","возможно, какой-нибудь памятник поставить, он же очень известный человек был."
xas,i nuʔmiluʔpiʔi maːʔndə. ,и побежали домой.
xas,šobi. ,пришёл.
xas,"dĭzeŋ наверное ibiʔi, üjüttə (s-) sarbiʔi, kumbiʔi maʔndə. ","они, наверное, взяли его, связали ему ноги, отнесли домой."
xas,(berzəbi) bar. ,дымно.
mhr,"айда пӧртылына, мо мемнан имне лийын?»","давай вернёмся, что случилось с нашей лошадью?»"
mhr,[15] тый <нрзб>,[15] ты <нрзб>.
xas,"a volk (tüj) šobi, dĭm amnuʔpi. ","волк пришел, съел его."
xas,iʔ kanaʔ! ,не ходи!
mhr,"нуно колхозышто шке кушко кӱлеш,","они в колхозе сами куда нужно,"
mhr,кандаш ияш эргыже ыле манеш.,у него был сын восьми лет.
mhr,"[2] мо, кок гана ойленут, мо= мом ыштенут... еҥым шортаренут.","[2] два раза передавали, заставили людей плакать."
kjh,[evs1979f] кӧнекмең.,[evs1979f] за ведро.
mhr,уло мом шарналташ,есть что вспомнить
bak,"kem xäldän kilä... если хочет, если сила хватит...","кому по силам... если хочет, если сила хватит..."
mhr,"<пеш> чапле имньым шогалтен кодышым, мом ыштет?","хорошую лошадь оставила, что поделаешь?"
mhr,[2] кудло куд ий илем.,[2] шестьдесят шесть лет живу.
bak,[mjj] kem.,[mjj] кто?
xas,"""davaj döʔə … ","""давай отсюда…"
xas,măn dʼijenə dĭgəttə kallam. ,я потом в лес пойду.
xas,šoʔ döbər! ,иди сюда!
bak,"даже televizorənda məna höjlägändä, tege ular höjläj ultəra, beð təŋlaj ultərhaq, ""ej, šul hüð bašqortsa šulaj bit"", например, ""свадьба"" tip äjtte.","даже когда вот по телевизору говорят, они вот говорят, мы слушаем, ""эй, это слово ведь (есть) по-башкирски"", например, ""свадьба"" говорят."
evn,варак hо̄гинипкӣ:,враг пинает:
kjh,"чабал ағырығ, о-о.","злая болезнь, о-о."
xas,tolʼko (ka-) kanzittə. ,только идти (?)
xas,măn болото (sĭʔitsə) šobiam. ,я шла по(?) болоту.
xas,šobiʔi inezʼiʔi. ,они поехали на лошадях.
kjh,"[evs1979f] а-а, учухча бе?","[evs1979f] а-а, отлетает?"
kjh,[evs1979f] пара пиӌеде полғабыс.,[evs1979f] у тёти вари мы были.
kjh,"частығ нізем най ле, улуғ уже.","в возрасте ведь я сильно, пожилая же."
kjh,"[evs1979f] харағай, ага.","[evs1979f] харагай, ага."
kjh,пір момент ещё сағызыма кір партыр.,один момент запомнил.
evn,потом амӣ эмэрэн.,потом отец пришел.
bak,"nu šunan töšöp kittem üðemä däreskä, nejðän, ike därestän huŋ, taɣən tege kabinetqa keräm.","ну потом пошла к себе на урок, через это, через два урока, опять захожу в кабинет."
kjh,"ахпашевтердең даа чоғыл, султрековтардаң дее чоғыл.","и из ахпашевых нет, и из султрековых нет."
xas,"(sp-) ugaːndə tăn sagər, kanaʔ moltʼanə! ","очень ты грязный, иди в баню."
mhr,марийжымат,и по-марийски-то
bak,šulajtəp min uɣa dürtle bildähenä imtixandə tapšərəp.,вот так я ей сдала экзамен на четверку.
xas,"""davaj tănzi amnozittə?"" ","""давай вместе жить?"""
xas,"""kudajən koʔbdo, iʔ miʔnʼibeʔ!"" ","""божья дочь, возьми нас!"""
kjh,"[mvk1924f] аны ал чӧрӌеңнер, хайзы, ибезінзері апарып, хамнатчаңнар.","[mvk1924f] его водили, некоторые, домой приведя, приглашали шаманить."
xas,"((dmg)) dĭgəttə dĭ (dʼabəluʔpi) xvostə, xvostə (dʼ-) sajnʼeʔpi. ","он ее схватил за хвост, хвост оторвался."
mhr,ик ийлан сайын пашам ыштен от керт».,ни одного года не можешь поработать по-хорошему».
xas,a (dĭ=) dĭzeŋgən ĭmbidə nagobi. ,но у них ничего не было.
kjh,мин ағаа ат сыйлирға итчеткем.,я ему хотела коня подарить.
evn,****,****
xas,ara bĭʔpiʔi. ,водку пили.
mhr,"ну, илена — ужына.","ну, поживем — увидим."
kjh,[tna1930f] палалардаң…,[tna1930f] с детьми…
xas,"""ködərdə, ajə i šoləl"". ","""развяжи дверь [=потяни за веревочку], и зайдешь""."
xas,tüj măn unnʼam amnolaʔbəm. ,теперь я одна живу.
xas,tĭ bar uʔməlaʔpi. ,она убежала.
mhr,[15] туге но.,[15] ну да.
kjh,а совхозха тикке ле тоғынғабыс нізе.,а на совхоз бесплатно только работали мы ведь.
kjh,ипчізі азахха аар халған полтыр ӱзӱнӌі палазына.,"жена (его) беременная осталась, оказывается, третьим ребенком."
mhr,"тун деч вараже эре эн= эре пел йолем корштыш, ындыже когынек коршта.","после этого одно нога начала болеть, а теперь обе болят."
mhr,"и киноаппарат ок кул,,","и киноаппарат не нужен,"
xas,kanaʔ. ,"иди!"""
bak,[izg] ber mälde boron - boron zamanda jäšägän ti qəð zöxrä häm unəŋ atahə.,[izg] однажды давным-давно жила девочка зухра со своим отцом.
evn,"ну, та̄ла̄ hурурэ.","ну, пошли туда."
xas,i bazoʔ embiem. ,и назад поставила.
kjh,"«анаң ханӌа-да кізі, может быть он, он писче полар чи, хайди-да ол цифразын ундут салтыр мин, име, задание пиргеннер:","«потом несколько человек, может, десять-пятнадцать будет, как-то эту цифру я забыл, это, задание дали:"
kjh,ады сіліг хакас чоным саблан турзын хаӌанға даа-й.,с красивым названием хакасский народ мой пусть прославляется всегда.
mhr,[1] а блины эти готовили,[1] а блины эти готовили
bak,šunan ber aj ütkäs tege jeget jaɣəna qəððə kilen itep oðatəp aləp barɣandar.,"потом спустя месяц вот на сторону жениха невесту, выдав, провожали."
mhr,"ӱдырамашыжын вара можо, пӧрыжшӧ ыле,","у женщины был этот, любовник,"
evn,"тар hэлэ умно̄, дэгилчолон, думайдеса тар бэе.","вот, однажды, когда тот улетел, этот человек подумал:"
xas,tüšəldə măna maktanərzittə tănzi. ,научи меня восхвалять тебя.
kjh,"ам пу от тузы пол парыбысхан, аның ӱчӱн маңнанминчан охстар, кил полбинчалар.","теперь настало время сенокоса, поэтому не успевает, видимо, не могут приехать."
mhr,операция «о».,проведём операцию «о».
xas,dĭgəttə măndə: ,однажды она говорит:
mhr,"мом ышташ кӱлеш ыле вет, уравненийым…","это надо было делать ведь, уравнение…"
bak,ul jaqta уже... šul bəl jaqtaɣə uðaqtarðə tege jaqta qaršə... uðaqtar bə...,на той стороне уже... вот напарников с этой стороны на той стороне встреча... гости эт....
kjh,хы… сосха хы… сосха тіп «чух-чух-чух» тіп хығырыбыстыр нізе.,свиней «чух-чух-чух» позвал ведь.
xas,"i (kun-) davaj kunzittə krospaʔinə, dĭn dʼünə tĭldzittə. ","и понесли его на кладбище, чтобы там похоронить."
xas,măn dĭʔnə kabažarbiam. ,я ему/ей помог.
kjh,"<надо>, а, іди сӱт пирче.","надо, а, так молоко дает."
mhr,тудын деч вара конечно жапшат ик ий уже эрт= почти что ик ий каен дык.,"после этого, конечно прошло уже около года."
evn,ая хава тарэ».,хорошая работа это».
xas,"""süjö, amnoʔ, amaʔ"". ","«птица, садись, ешь»."
mhr,[12] каласен кертам.,[12] могу рассказать.
xas,"nʼe axota kanzittə, ugandə šeriem. ","не хочу идти, очень стесняюсь."
xas,a măn kuvas igem. ,а я красивая.
